battery_capacity,size,method,runs,feasible_runs,feasible_rate,best_feasible_objective,avg_feasible_objective,objective_stddev,avg_runtime_seconds,avg_total_violation_count,avg_capacity_violations,avg_time_window_violations,avg_energy_violations,avg_charging_count,avg_charging_time
60.0,50,GA_VRPTW,3,0,0.0,,,,3.656535319333974,40.0,0.0,0.0,40.0,0.0,0.0
60.0,50,GA_VRPTW_ANTICIPATORY_REPAIR,3,1,0.3333333333333333,4950.543143979656,4950.543143979656,,3.657121347001521,2.0,0.0,0.0,2.0,57.666666666666664,249.12466095519335
60.0,50,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,3.6566704583431906,21.666666666666668,0.0,0.0,21.666666666666668,18.333333333333332,87.8543733397488
60.0,50,OR_TOOLS_VRPTW,3,0,0.0,,,,0.02040058366643886,37.0,0.0,0.0,37.0,0.0,0.0
60.0,50,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,0.02063394499903855,17.666666666666668,0.0,0.0,17.666666666666668,8.666666666666666,45.83675716812874
60.0,50,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.020496791665209457,32.0,0.0,0.0,32.0,1.3333333333333333,7.555937631301745
60.0,100,GA_VRPTW,3,0,0.0,,,,8.733473333665946,77.0,0.0,0.0,77.0,0.0,0.0
60.0,100,GA_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,8.73503815298318,3.0,0.0,0.0,3.0,106.0,463.4924718308126
60.0,100,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,8.733817250002176,35.0,0.0,0.0,35.0,42.0,204.42113657686264
60.0,100,OR_TOOLS_VRPTW,3,0,0.0,,,,0.07990895831608213,69.66666666666667,0.0,0.0,69.66666666666667,0.0,0.0
60.0,100,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,0.08060576398080836,26.666666666666668,0.0,0.0,26.666666666666668,15.666666666666666,84.16702310543663
60.0,100,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.0801663473151469,66.66666666666667,0.0,0.0,66.66666666666667,0.6666666666666666,3.997515025455994
60.0,200,GA_VRPTW,3,0,0.0,,,,23.396214986326715,157.0,0.0,0.0,157.0,0.0,0.0
60.0,200,GA_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,23.40214823599672,7.0,0.0,0.0,7.0,227.66666666666666,993.7115908673901
60.0,200,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,23.397311944660032,84.66666666666667,0.0,0.0,84.66666666666667,72.33333333333333,357.22783487885
60.0,200,OR_TOOLS_VRPTW,3,0,0.0,,,,0.4025770136601447,127.33333333333333,0.0,0.0,127.33333333333333,0.0,0.0
60.0,200,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,0,0.0,,,,0.4050098886655178,31.0,0.0,0.0,31.0,30.333333333333332,160.94252591237714
60.0,200,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.4033728333209486,127.33333333333333,0.0,0.0,127.33333333333333,0.0,0.0
80.0,50,GA_VRPTW,3,0,0.0,,,,3.632901513997543,26.666666666666668,0.0,0.0,26.666666666666668,0.0,0.0
80.0,50,GA_VRPTW_ANTICIPATORY_REPAIR,3,3,1.0,3728.526986852009,3928.120362623186,172.92456887298812,3.6332290419959463,0.0,0.0,0.0,0.0,29.333333333333332,181.43306123626562
80.0,50,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,3.633002235660873,2.6666666666666665,0.0,0.0,2.6666666666666665,24.0,157.1061669283162
80.0,50,OR_TOOLS_VRPTW,3,0,0.0,,,,0.020161222346359864,32.0,0.0,0.0,32.0,0.0,0.0
80.0,50,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,3,3,1.0,904.6834593265988,954.6149629693601,48.47116031189834,0.020398708341720823,0.0,0.0,0.0,0.0,11.0,76.36538053210957
80.0,50,OR_TOOLS_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,0.0202465976763051,28.0,0.0,0.0,28.0,0.6666666666666666,5.279965851661028
80.0,100,GA_VRPTW,3,0,0.0,,,,8.604622791676471,48.666666666666664,0.0,0.0,48.666666666666664,0.0,0.0
80.0,100,GA_VRPTW_ANTICIPATORY_REPAIR,3,3,1.0,7352.799126785542,7486.859466221819,169.47808837434738,8.605636749678524,0.0,0.0,0.0,0.0,55.333333333333336,332.26199977754635
80.0,100,GA_VRPTW_CHARGING_REPAIR,3,0,0.0,,,,8.60486938902371,6.666666666666667,0.0,0.0,6.666666666666667,42.0,269.57489499516765
80.0,100,OR_TOOLS_VRPTW,3,0,0.0,,,,0.07968334700368966,57.0,0.0,0.0,57.0,0.0,0.0
