experiment_id,start_utc,end_utc,benchmark_type,instance,source_instance,algorithm,algorithm_role,algorithm_version,seed,customer_count,station_count,vehicle_capacity,battery_capacity,battery_theoretical_lower_bound,battery_structural_lower_bound,battery_ratio,time_window_pressure,distance_metric,vehicle_count,objective_value,total_distance,total_energy,total_charged_energy,total_charging_time,status,feasible,proven_optimal,best_known_value,relative_gap,lower_bound,root_lower_bound,final_lower_bound,incumbent,optimality_gap,first_feasible_time,best_time,runtime_seconds,cpu_time_seconds,wall_clock_seconds,iterations,accepted_moves,rejected_moves,alns_destroy_statistics,alns_repair_statistics,charging_subproblem_calls,charging_subproblem_average_seconds,bpc_nodes,bpc_generated_columns,bpc_active_columns,bpc_pricing_iterations,forward_labels,backward_labels,joined_labels,labels_pruned,cuts_added,peak_memory_mb,failure_reason,raw_log_path,solution_path,threads,time_limit_seconds
primary-c101C5-or_tools_vrptw-0,2026-07-12T17:04:52.190437+00:00,2026-07-12T17:04:52.195300+00:00,Primary,c101C5,c101C5,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),3,234.71709679263063,234.71709679263063,234.71709679263063,0.0,0.0,invalid,False,False,247.14970649404418,,,,,,,,,0.004861165998590877,0.004068000000000016,0.004861165998590877,,,,,,,,,,,,,,,,,100.078125,battery depleted on leg 3 (C85->D0) | battery depleted on leg 3 (C100->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-or_tools_vrptw-0.json,1,30.0
primary-r105C5-or_tools_vrptw-0,2026-07-12T17:04:52.678209+00:00,2026-07-12T17:04:52.679888+00:00,Primary,r105C5,r105C5,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,5,3,200.0,60.63,27.784887978899608,55.569775957799216,1.0910607241973338,1.0,EUC_2D (unrounded Euclidean distance),2,151.1487994612179,151.1487994612179,151.1487994612179,0.0,0.0,invalid,False,False,156.08206946417084,,,,,,,,,0.0016765420004958287,0.0016769999999999285,0.0016765420004958287,,,,,,,,,,,,,,,,,100.859375,battery depleted on leg 2 (C75->C91) | battery depleted on leg 3 (C91->C95) | battery depleted on leg 4 (C95->D0) | battery depleted on leg 3 (C28->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r105C5-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r105C5-or_tools_vrptw-0.json,1,30.0
primary-r105C5-ga_vrptw-2014,2026-07-12T17:04:52.693211+00:00,2026-07-12T17:04:52.791138+00:00,Primary,r105C5,r105C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,5,3,200.0,60.63,27.784887978899608,55.569775957799216,1.0910607241973338,1.0,EUC_2D (unrounded Euclidean distance),4,182.00669045105784,182.00669045105784,182.00669045105784,0.0,0.0,invalid,False,False,156.08206946417084,,,,,,,,,0.09792308299802244,0.09777800000000003,0.09792308299802244,,,,,,,,,,,,,,,,,101.015625,battery depleted on leg 2 (C78->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r105C5-ga_vrptw-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r105C5-ga_vrptw-2014.json,1,30.0
primary-r105C5-ga_vrptw-2015,2026-07-12T17:04:52.804512+00:00,2026-07-12T17:04:52.903466+00:00,Primary,r105C5,r105C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2015,5,3,200.0,60.63,27.784887978899608,55.569775957799216,1.0910607241973338,1.0,EUC_2D (unrounded Euclidean distance),4,182.00669045105784,182.00669045105784,182.00669045105784,0.0,0.0,invalid,False,False,156.08206946417084,,,,,,,,,0.09895587500068359,0.09877500000000006,0.09895587500068359,,,,,,,,,,,,,,,,,101.03125,battery depleted on leg 2 (C78->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r105C5-ga_vrptw-2015.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r105C5-ga_vrptw-2015.json,1,30.0
primary-r105C5-ga_vrptw-2016,2026-07-12T17:04:52.917807+00:00,2026-07-12T17:04:53.017123+00:00,Primary,r105C5,r105C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2016,5,3,200.0,60.63,27.784887978899608,55.569775957799216,1.0910607241973338,1.0,EUC_2D (unrounded Euclidean distance),4,182.00669045105784,182.00669045105784,182.00669045105784,0.0,0.0,invalid,False,False,156.08206946417084,,,,,,,,,0.09931354199943598,0.09897800000000001,0.09931354199943598,,,,,,,,,,,,,,,,,101.046875,battery depleted on leg 2 (C78->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r105C5-ga_vrptw-2016.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r105C5-ga_vrptw-2016.json,1,30.0
primary-rc105C5-or_tools_vrptw-0,2026-07-12T17:04:53.212731+00:00,2026-07-12T17:04:53.214202+00:00,Primary,rc105C5,rc105C5,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,5,4,200.0,77.75,19.924858845171276,39.84971769034255,1.9510803214257766,1.0,EUC_2D (unrounded Euclidean distance),2,227.18474246926607,227.18474246926607,227.18474246926607,0.0,0.0,invalid,False,False,238.05223158918278,,,,,,,,,0.0014677919971290976,0.0014599999999997948,0.0014677919971290976,,,,,,,,,,,,,,,,,101.09375,battery depleted on leg 3 (C22->D0) | battery depleted on leg 2 (C36->C55) | battery depleted on leg 3 (C55->C82) | battery depleted on leg 4 (C82->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc105C5-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc105C5-or_tools_vrptw-0.json,1,30.0
primary-rc105C5-ga_vrptw-2014,2026-07-12T17:04:53.226943+00:00,2026-07-12T17:04:53.324602+00:00,Primary,rc105C5,rc105C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,5,4,200.0,77.75,19.924858845171276,39.84971769034255,1.9510803214257766,1.0,EUC_2D (unrounded Euclidean distance),4,251.83384026827332,251.83384026827332,251.83384026827332,0.0,0.0,invalid,False,False,238.05223158918278,,,,,,,,,0.09765574999983073,0.09749600000000003,0.09765574999983073,,,,,,,,,,,,,,,,,101.109375,battery depleted on leg 2 (C36->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc105C5-ga_vrptw-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc105C5-ga_vrptw-2014.json,1,30.0
primary-rc105C5-ga_vrptw-2015,2026-07-12T17:04:53.337856+00:00,2026-07-12T17:04:53.435784+00:00,Primary,rc105C5,rc105C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2015,5,4,200.0,77.75,19.924858845171276,39.84971769034255,1.9510803214257766,1.0,EUC_2D (unrounded Euclidean distance),4,251.83384026827332,251.83384026827332,251.83384026827332,0.0,0.0,invalid,False,False,238.05223158918278,,,,,,,,,0.09792645899869967,0.09782100000000016,0.09792645899869967,,,,,,,,,,,,,,,,,101.125,battery depleted on leg 2 (C36->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc105C5-ga_vrptw-2015.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc105C5-ga_vrptw-2015.json,1,30.0
primary-rc105C5-ga_vrptw-2016,2026-07-12T17:04:53.448780+00:00,2026-07-12T17:04:53.546413+00:00,Primary,rc105C5,rc105C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2016,5,4,200.0,77.75,19.924858845171276,39.84971769034255,1.9510803214257766,1.0,EUC_2D (unrounded Euclidean distance),4,251.83384026827332,251.83384026827332,251.83384026827332,0.0,0.0,invalid,False,False,238.05223158918278,,,,,,,,,0.09763050000037765,0.09731000000000001,0.09763050000037765,,,,,,,,,,,,,,,,,101.125,battery depleted on leg 2 (C36->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-rc105C5-ga_vrptw-2016.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-rc105C5-ga_vrptw-2016.json,1,30.0
primary-c104C10-branch_price_and_cut-0,2026-07-12T17:04:53.560573+00:00,2026-07-12T17:04:53.560573+00:00,Primary,c104C10,c104C10,BRANCH_PRICE_AND_CUT,small-scale exact theoretical reference,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,10,4,200.0,77.75,26.1725046566048,52.3450093132096,1.4853373993073162,1.0,EUC_2D (unrounded Euclidean distance),,,,,,,not_applicable,False,False,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,exact enumerated-column BPC is limited to at most 8 customers,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c104C10-branch_price_and_cut-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c104C10-branch_price_and_cut-0.json,1,30.0
