instance,source_path,customer_count,station_count,load_capacity,battery_capacity,consumption_rate,inverse_refueling_rate,average_velocity,depot_due_date,earliest_customer_ready,latest_customer_due,distance_metric,structurally_feasible,failures,warnings,theoretical_lower_bound,structural_lower_bound,experimental_capacity,stress_ratio
c101C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c101C5.txt,5,3,200.0,77.75,1.0,3.47,1.0,1236.0,176.0,809.0,EUC_2D (unrounded Euclidean distance),True,,,29.732137494637012,59.464274989274024,77.75,1.3075077433303324
r105C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r105C5.txt,5,3,200.0,60.63,1.0,0.49,1.0,230.0,49.0,213.0,EUC_2D (unrounded Euclidean distance),True,,,27.784887978899608,55.569775957799216,60.63,1.0910607241973338
rc105C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/rc105C5.txt,5,4,200.0,77.75,1.0,0.39,1.0,240.0,15.0,147.0,EUC_2D (unrounded Euclidean distance),True,,,19.924858845171276,39.84971769034255,77.75,1.9510803214257766
c104C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c104C10.txt,10,4,200.0,77.75,1.0,3.47,1.0,1236.0,0.0,1133.0,EUC_2D (unrounded Euclidean distance),True,,,26.1725046566048,52.3450093132096,77.75,1.4853373993073162
r103C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r103C10.txt,10,3,200.0,60.63,1.0,0.49,1.0,230.0,0.0,215.0,EUC_2D (unrounded Euclidean distance),True,,,27.586228448267445,55.17245689653489,60.63,1.0989178914707327
rc102C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/rc102C10.txt,10,4,200.0,77.75,1.0,0.39,1.0,240.0,0.0,210.0,EUC_2D (unrounded Euclidean distance),True,,,37.73592452822641,75.47184905645283,77.75,1.0301854396311811
c106C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c106C15.txt,15,3,200.0,77.75,1.0,3.47,1.0,1236.0,10.0,1129.0,EUC_2D (unrounded Euclidean distance),True,,,28.861739379323623,57.723478758647246,77.75,1.3469389176124922
r105C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r105C15.txt,15,6,200.0,60.63,1.0,0.49,1.0,230.0,27.0,213.0,EUC_2D (unrounded Euclidean distance),True,,,23.706539182259394,47.41307836451879,60.63,1.278761094857996
rc103C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/rc103C15.txt,15,5,200.0,77.75,1.0,0.39,1.0,240.0,0.0,210.0,EUC_2D (unrounded Euclidean distance),True,,,20.024984394500787,40.049968789001575,77.75,1.9413248586938103
c101_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c101_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1129.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
r101_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r101_21.txt,100,21,200.0,62.14,1.0,0.48,1.0,230.0,20.0,213.0,EUC_2D (unrounded Euclidean distance),True,,,17.88854381999832,35.77708763999664,62.14,1.7368658015229617
rc101_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/rc101_21.txt,100,21,200.0,79.69,1.0,0.38,1.0,240.0,10.0,214.0,EUC_2D (unrounded Euclidean distance),True,,,24.351591323771842,48.703182647543684,79.69,1.6362380375981262
c101C5_battery_stress,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c101C5.txt,5,3,200.0,62.43748873873773,1.0,3.47,1.0,1236.0,176.0,809.0,EUC_2D (unrounded Euclidean distance),True,,,29.732137494637012,59.464274989274024,62.43748873873773,1.05
r105C5_battery_stress,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r105C5.txt,5,3,200.0,58.34826475568918,1.0,0.49,1.0,230.0,49.0,213.0,EUC_2D (unrounded Euclidean distance),True,,,27.784887978899608,55.569775957799216,58.34826475568918,1.05
rc105C5_battery_stress,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/rc105C5.txt,5,4,200.0,41.84220357485968,1.0,0.39,1.0,240.0,15.0,147.0,EUC_2D (unrounded Euclidean distance),True,,,19.924858845171276,39.84971769034255,41.84220357485968,1.05
