experiment_id,start_utc,end_utc,benchmark_type,instance,source_instance,algorithm,algorithm_role,algorithm_version,seed,customer_count,station_count,vehicle_capacity,battery_capacity,battery_theoretical_lower_bound,battery_structural_lower_bound,battery_ratio,time_window_pressure,distance_metric,vehicle_count,objective_value,total_distance,total_energy,total_charged_energy,total_charging_time,status,feasible,proven_optimal,best_known_value,relative_gap,lower_bound,root_lower_bound,final_lower_bound,incumbent,optimality_gap,first_feasible_time,best_time,runtime_seconds,cpu_time_seconds,wall_clock_seconds,iterations,accepted_moves,rejected_moves,alns_destroy_statistics,alns_repair_statistics,charging_subproblem_calls,charging_subproblem_average_seconds,bpc_nodes,bpc_generated_columns,bpc_active_columns,bpc_pricing_iterations,forward_labels,backward_labels,joined_labels,labels_pruned,cuts_added,peak_memory_mb,failure_reason,raw_log_path,solution_path,threads,time_limit_seconds
primary-c101C5-branch_price_and_cut-0,2026-07-12T17:04:52.038179+00:00,2026-07-12T17:04:52.080085+00:00,Primary,c101C5,c101C5,BRANCH_PRICE_AND_CUT,small-scale exact theoretical reference,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),3,247.14970649404418,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,feasible,True,True,247.14970649404418,0.0,247.14970649404418,247.14970649404418,247.14970649404418,247.14970649404418,0.0,,,0.04187837499921443,0.04696499999999998,0.041899499999999534,,,,,,,,1,17,12,2,86,26,610,308,1,94.6875,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-branch_price_and_cut-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-branch_price_and_cut-0.json,1,30.0
primary-c101C5-alns_exact_charging-2014,2026-07-12T17:04:52.097910+00:00,2026-07-12T17:04:52.112535+00:00,Primary,c101C5,c101C5,ALNS_EXACT_CHARGING,primary ALNS-based matheuristic,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),3,247.14970649404418,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,feasible,True,False,247.14970649404418,0.0,,,,,,0.0029501249991881195,0.00432958300007158,0.01458262500091223,0.014614000000000016,0.014623333998315502,1000,1000,0,"{""random"": {""accepted"": 342, ""best"": 1, ""calls"": 342, ""improved"": 1, ""weight"": 1.0000000000000007}, ""related"": {""accepted"": 327, ""best"": 0, ""calls"": 327, ""improved"": 0, ""weight"": 1.0}, ""worst"": {""accepted"": 331, ""best"": 0, ""calls"": 331, ""improved"": 2, ""weight"": 1.0000000000000007}}","{""energy"": {""accepted"": 324, ""best"": 0, ""calls"": 324, ""improved"": 0, ""weight"": 1.0}, ""greedy"": {""accepted"": 324, ""best"": 1, ""calls"": 324, ""improved"": 3, ""weight"": 1.0000000000000007}, ""regret2"": {""accepted"": 352, ""best"": 0, ""calls"": 352, ""improved"": 0, ""weight"": 1.0}}",44,0.00012625952281682245,,,,,3544,,,2424,,95.0,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-alns_exact_charging-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-alns_exact_charging-2014.json,1,30.0
primary-c101C5-alns_exact_charging-2015,2026-07-12T17:04:52.128480+00:00,2026-07-12T17:04:52.145033+00:00,Primary,c101C5,c101C5,ALNS_EXACT_CHARGING,primary ALNS-based matheuristic,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2015,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),3,247.14970649404418,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,feasible,True,False,247.14970649404418,0.0,,,,,,0.00296024999988731,0.0063509999999951106,0.016499084002134623,0.016403,0.016549249998206506,1000,998,2,"{""random"": {""accepted"": 349, ""best"": 1, ""calls"": 349, ""improved"": 1, ""weight"": 1.0000000000000007}, ""related"": {""accepted"": 341, ""best"": 0, ""calls"": 341, ""improved"": 0, ""weight"": 1.0}, ""worst"": {""accepted"": 308, ""best"": 0, ""calls"": 310, ""improved"": 2, ""weight"": 1.0000000000000007}}","{""energy"": {""accepted"": 324, ""best"": 0, ""calls"": 326, ""improved"": 0, ""weight"": 0.9999999999999998}, ""greedy"": {""accepted"": 373, ""best"": 1, ""calls"": 373, ""improved"": 3, ""weight"": 1.0000000000000007}, ""regret2"": {""accepted"": 301, ""best"": 0, ""calls"": 301, ""improved"": 0, ""weight"": 1.0}}",54,0.00013266275911721296,,,,,4482,,,3076,,95.015625,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-alns_exact_charging-2015.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-alns_exact_charging-2015.json,1,30.0
primary-c101C5-alns_exact_charging-2016,2026-07-12T17:04:52.159297+00:00,2026-07-12T17:04:52.175329+00:00,Primary,c101C5,c101C5,ALNS_EXACT_CHARGING,primary ALNS-based matheuristic,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2016,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),3,247.14970649404418,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,feasible,True,False,247.14970649404418,0.0,,,,,,0.0033080829998652916,0.005415457999333739,0.015990542000508867,0.015867999999999993,0.01602933400135953,1000,1000,0,"{""random"": {""accepted"": 345, ""best"": 0, ""calls"": 345, ""improved"": 0, ""weight"": 1.0}, ""related"": {""accepted"": 329, ""best"": 1, ""calls"": 329, ""improved"": 1, ""weight"": 1.0000000000000007}, ""worst"": {""accepted"": 326, ""best"": 0, ""calls"": 326, ""improved"": 0, ""weight"": 1.0}}","{""energy"": {""accepted"": 326, ""best"": 0, ""calls"": 326, ""improved"": 0, ""weight"": 1.0}, ""greedy"": {""accepted"": 342, ""best"": 1, ""calls"": 342, ""improved"": 1, ""weight"": 1.0000000000000007}, ""regret2"": {""accepted"": 332, ""best"": 0, ""calls"": 332, ""improved"": 0, ""weight"": 1.0}}",49,0.00013465051025767543,,,,,4066,,,2788,,95.015625,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-alns_exact_charging-2016.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-alns_exact_charging-2016.json,1,30.0
primary-c101C5-or_tools_vrptw-0,2026-07-12T17:04:52.190437+00:00,2026-07-12T17:04:52.195300+00:00,Primary,c101C5,c101C5,OR_TOOLS_VRPTW,classical VRPTW baseline; no charging optimization,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),3,234.71709679263063,234.71709679263063,234.71709679263063,0.0,0.0,invalid,False,False,247.14970649404418,,,,,,,,,0.004861165998590877,0.004068000000000016,0.004861165998590877,,,,,,,,,,,,,,,,,100.078125,battery depleted on leg 3 (C85->D0) | battery depleted on leg 3 (C100->D0),/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-or_tools_vrptw-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-or_tools_vrptw-0.json,1,30.0
primary-c101C5-ga_vrptw-2014,2026-07-12T17:04:52.210077+00:00,2026-07-12T17:04:52.314910+00:00,Primary,c101C5,c101C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),5,296.0921118198048,296.0921118198048,296.0921118198048,0.0,0.0,feasible,True,False,247.14970649404418,0.19802736576156948,,,,,,,,0.10480900000038673,0.10354400000000002,0.10480900000038673,,,,,,,,,,,,,,,,,100.171875,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-ga_vrptw-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-ga_vrptw-2014.json,1,30.0
primary-c101C5-ga_vrptw-2015,2026-07-12T17:04:52.328947+00:00,2026-07-12T17:04:52.428891+00:00,Primary,c101C5,c101C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2015,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),5,296.0921118198048,296.0921118198048,296.0921118198048,0.0,0.0,feasible,True,False,247.14970649404418,0.19802736576156948,,,,,,,,0.09994266699868604,0.09970299999999999,0.09994266699868604,,,,,,,,,,,,,,,,,100.203125,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-ga_vrptw-2015.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-ga_vrptw-2015.json,1,30.0
primary-c101C5-ga_vrptw-2016,2026-07-12T17:04:52.442472+00:00,2026-07-12T17:04:52.542219+00:00,Primary,c101C5,c101C5,GA_VRPTW,weak baseline; chromosome decoder has no exact station insertion,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2016,5,3,200.0,77.75,29.732137494637012,59.464274989274024,1.3075077433303324,1.0,EUC_2D (unrounded Euclidean distance),5,296.0921118198048,296.0921118198048,296.0921118198048,0.0,0.0,feasible,True,False,247.14970649404418,0.19802736576156948,,,,,,,,0.0997452500014333,0.09955999999999998,0.0997452500014333,,,,,,,,,,,,,,,,,100.203125,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-c101C5-ga_vrptw-2016.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-c101C5-ga_vrptw-2016.json,1,30.0
primary-r105C5-branch_price_and_cut-0,2026-07-12T17:04:52.555765+00:00,2026-07-12T17:04:52.590269+00:00,Primary,r105C5,r105C5,BRANCH_PRICE_AND_CUT,small-scale exact theoretical reference,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,0,5,3,200.0,60.63,27.784887978899608,55.569775957799216,1.0910607241973338,1.0,EUC_2D (unrounded Euclidean distance),2,156.08206946417084,156.08206946417084,156.08206946417084,90.12225090073764,44.159902941361445,feasible,True,True,156.08206946417084,0.0,156.08206946417084,156.08206946417084,156.08206946417084,156.08206946417084,0.0,,,0.034481792001315625,0.03445100000000001,0.03450366600009147,,,,,,,,1,16,15,2,86,26,610,309,1,100.21875,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r105C5-branch_price_and_cut-0.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r105C5-branch_price_and_cut-0.json,1,30.0
primary-r105C5-alns_exact_charging-2014,2026-07-12T17:04:52.603623+00:00,2026-07-12T17:04:52.615250+00:00,Primary,r105C5,r105C5,ALNS_EXACT_CHARGING,primary ALNS-based matheuristic,bd9787f5ab1df174246303e854e9be04d56fb270+dirty,2014,5,3,200.0,60.63,27.784887978899608,55.569775957799216,1.0910607241973338,1.0,EUC_2D (unrounded Euclidean distance),2,156.08206946417084,156.08206946417084,156.08206946417084,90.12225090073764,44.159902941361445,feasible,True,False,156.08206946417084,0.0,,,,,,0.002386500000284286,0.002386500000284286,0.011590375001105713,0.011618999999999935,0.011624874998233281,1000,1000,0,"{""random"": {""accepted"": 342, ""best"": 0, ""calls"": 342, ""improved"": 0, ""weight"": 1.0}, ""related"": {""accepted"": 331, ""best"": 0, ""calls"": 331, ""improved"": 0, ""weight"": 1.0}, ""worst"": {""accepted"": 327, ""best"": 0, ""calls"": 327, ""improved"": 0, ""weight"": 1.0}}","{""energy"": {""accepted"": 324, ""best"": 0, ""calls"": 324, ""improved"": 0, ""weight"": 1.0}, ""greedy"": {""accepted"": 321, ""best"": 0, ""calls"": 321, ""improved"": 0, ""weight"": 1.0}, ""regret2"": {""accepted"": 355, ""best"": 0, ""calls"": 355, ""improved"": 0, ""weight"": 1.0}}",37,9.857764844373624e-05,,,,,2446,,,1670,,100.21875,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/raw/primary-r105C5-alns_exact_charging-2014.json,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/week05_advanced/solutions/primary-r105C5-alns_exact_charging-2014.json,1,30.0
