benchmark_type,instance,algorithm,runs,feasible_runs,feasibility_rate,best,mean,median,worst,standard_deviation,mean_runtime,gap_to_best_known
Primary,c101C5,ALNS_EXACT_CHARGING,3,3,1.0,247.14970649404418,247.14970649404418,247.14970649404418,247.14970649404418,0.0,0.015690750334518572,0.0
Primary,c101C5,BRANCH_PRICE_AND_CUT,1,1,1.0,247.14970649404418,247.14970649404418,247.14970649404418,247.14970649404418,0.0,0.04187837499921443,0.0
Primary,c101C5,GA_VRPTW,3,3,1.0,296.0921118198048,296.0921118198048,296.0921118198048,296.0921118198048,0.0,0.10149897233350202,0.1980273657615695
Primary,c101C5,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.004861165998590877,
Primary,c101_21,ALNS_EXACT_CHARGING,3,3,1.0,1234.5032876506266,1236.2603724996914,1237.1389149242236,1237.1389149242236,1.242446611893785,30.022599013998843,
Primary,c101_21,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,c101_21,GA_VRPTW,3,0,0.0,,,,,,2.17669215266748,
Primary,c101_21,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.14741254199907416,
Primary,c104C10,ALNS_EXACT_CHARGING,3,3,1.0,273.9312371287162,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,0.5006871806678342,
Primary,c104C10,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,c104C10,GA_VRPTW,3,0,0.0,,,,,,0.16868124999988746,
Primary,c104C10,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0022651670005870983,
Primary,c106C15,ALNS_EXACT_CHARGING,3,3,1.0,275.1331688731623,275.1331688731623,275.1331688731623,275.1331688731623,0.0,1.2691621803339028,
Primary,c106C15,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,c106C15,GA_VRPTW,3,0,0.0,,,,,,0.2394237640000938,
Primary,c106C15,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.004331374999310356,
Primary,r101_21,ALNS_EXACT_CHARGING,3,3,1.0,1788.215596960292,1898.867131751289,1816.6087439307273,2091.7770543628476,136.89952856071574,30.002958861000177,
Primary,r101_21,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,r101_21,GA_VRPTW,3,0,0.0,,,,,,2.2670530556667168,
Primary,r101_21,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.18934375000026193,
Primary,r103C10,ALNS_EXACT_CHARGING,3,3,1.0,202.85268574464004,202.85268574464007,202.85268574464004,202.85268574464004,0.0,0.5651577776685978,
Primary,r103C10,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,r103C10,GA_VRPTW,3,3,1.0,248.35325423306875,249.4897528299556,248.35325423306875,251.76275002372927,1.6072517293353596,0.16414479200102505,
Primary,r103C10,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0029469159999280237,
Primary,r105C15,ALNS_EXACT_CHARGING,3,3,1.0,336.1536020996758,336.1536020996758,336.1536020996758,336.1536020996758,0.0,1.3637120003343928,
Primary,r105C15,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,r105C15,GA_VRPTW,3,0,0.0,,,,,,0.2599385836656438,
Primary,r105C15,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.005445832997793332,
Primary,r105C5,ALNS_EXACT_CHARGING,3,3,1.0,156.08206946417084,156.08206946417084,156.08206946417084,156.08206946417084,0.0,0.011594041334319627,0.0
Primary,r105C5,BRANCH_PRICE_AND_CUT,1,1,1.0,156.08206946417084,156.08206946417084,156.08206946417084,156.08206946417084,0.0,0.034481792001315625,0.0
Primary,r105C5,GA_VRPTW,3,0,0.0,,,,,,0.098730833332714,
Primary,r105C5,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.0016765420004958287,
Primary,rc101_21,ALNS_EXACT_CHARGING,3,3,1.0,2167.8628849589286,2223.2860199790002,2230.920914364931,2271.074260613141,42.480314855408686,30.01240312466689,
Primary,rc101_21,BRANCH_PRICE_AND_CUT,1,0,0.0,,,,,,0.0,
Primary,rc101_21,GA_VRPTW,3,0,0.0,,,,,,2.2291938196661554,
Primary,rc101_21,OR_TOOLS_VRPTW,1,0,0.0,,,,,,0.20578475000002072,
