infrastructure_variant,added_station_count,instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
original,0,week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,1373.442932542023,0.06676466700082528,7,0,0,0,0,20,105.86318030103993,,0,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,4950.543143979656,3.5555640000002313,47,0,0,0,0,69,294.7428131628432,,0,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw_anticipatory_split_repair.json
augmented,0,week04_generated_50_battery_60_seed_2014_infrastructure_augmented,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,1373.442932542023,0.06755279099888867,7,0,0,0,0,20,105.86318030103993,,0,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2014_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,0,week04_generated_50_battery_60_seed_2014_infrastructure_augmented,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,4950.543143979656,3.5799628749991825,47,0,0,0,0,69,294.7428131628432,,0,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2014_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
original,0,week04_generated_50_battery_60_seed_2015,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,1380.1738370146395,0.10193704100129253,8,0,0,3,0,17,86.18181284462335,route 1 leg 20 C18->D0: battery depleted,3,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2015_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_50_battery_60_seed_2015,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,4345.402000542435,3.578009999999267,46,0,0,3,0,49,213.49167529867134,route 11 leg 2 C34->D0: battery depleted,3,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2015_ga_vrptw_anticipatory_split_repair.json
augmented,3,week04_generated_50_battery_60_seed_2015_infrastructure_augmented,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,True,894.4529141978169,0.022773624999899766,3,0,0,0,0,14,75.81449384934116,,0,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2015_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,3,week04_generated_50_battery_60_seed_2015_infrastructure_augmented,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,True,4218.5770597391775,3.6017359159995976,46,0,0,0,0,51,216.45229383872277,,0,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2015_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
original,0,week04_generated_50_battery_60_seed_2016,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,1202.611481905818,0.07504491600047913,7,0,0,2,0,16,77.24785022573693,route 3 leg 7 C33->D0: battery depleted,2,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2016_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_50_battery_60_seed_2016,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,4534.964579917276,3.6362024579993886,45,0,0,3,0,55,239.13949440406554,route 12 leg 2 C32->D0: battery depleted,3,results/week05_infrastructure/raw/week04_generated_50_battery_60_seed_2016_ga_vrptw_anticipatory_split_repair.json
