instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW,2014,False,653.9722577041131,0.016023000000132015,3,0,0,37,0,0,0.0,route 1 leg 5 C11->C38: battery depleted,37,results/week05/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw.json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,653.9722577041131,0.01613066699974297,3,0,0,37,0,0,0.0,route 1 leg 5 C11->C38: battery depleted,37,results/week05/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw_charging_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2014,False,848.0993795438166,0.01624370799981989,3,0,0,22,0,7,39.32573171837545,route 1 leg 9 C42->C8: battery depleted,22,results/week05/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw_anticipatory_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,1373.442932542023,0.06695200000103796,7,0,0,0,0,20,105.86318030103993,,0,results/week05/raw/week04_generated_50_battery_60_seed_2014_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW,2014,False,4011.1803571839314,3.6123513329985144,47,0,0,45,0,0,0.0,route 1 leg 2 C41->D0: battery depleted,45,results/week05/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW_CHARGING_REPAIR,2014,False,4215.531773372853,3.612493540998912,47,0,0,24,0,21,97.03737462806569,route 3 leg 2 C22->D0: battery depleted,24,results/week05/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw_charging_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2014,True,4950.543143979656,3.612970582998969,47,0,0,0,0,69,294.7428131628432,,0,results/week05/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw_anticipatory_repair.json
week04_generated_50_battery_60_seed_2014,50,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,4950.543143979656,3.613143582997509,47,0,0,0,0,69,294.7428131628432,,0,results/week05/raw/week04_generated_50_battery_60_seed_2014_ga_vrptw_anticipatory_split_repair.json
week04_generated_50_battery_60_seed_2015,50,60.0,OR_TOOLS_VRPTW,2015,False,714.4967064087914,0.022441084000092815,3,0,0,38,0,0,0.0,route 1 leg 5 C32->C8: battery depleted,38,results/week05/raw/week04_generated_50_battery_60_seed_2015_or_tools_vrptw.json
week04_generated_50_battery_60_seed_2015,50,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,771.6231492184854,0.022522208999362192,3,0,0,23,0,4,22.667812893905236,route 1 leg 17 C50->C18: battery depleted,23,results/week05/raw/week04_generated_50_battery_60_seed_2015_or_tools_vrptw_charging_repair.json
